Elevation,Chhis_H,Chhis_C,Diord_H,Diord_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Peman_H,Peman_C,Penas_H,Penas_C,Pefas_H,Pefas_C,Peflave_H,Peflave_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Remon_H,Remon_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Socin_H,Socin_C,Sohoy_H,Sohoy_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimon_H,Mimon_C,Mioch_H,Mioch_C,Mipen_H,Mipen_C,Phint_H,Phint_C,Calat_H,Calat_C,Ictri_H,Ictri_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taumb_H,Taumb_C,Urele_H,Urele_C,Xespi_H,Xespi_C
1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,1,0,14,0,0,1,21,1,0,0,90,8,1,0,10,0,1,0,11,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,58,1,25,5,0,0,0,0,27,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1550,0,0,1,0,0,0,13,0,0,0,96,11,12,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,58,0,46,1,0,0,0,0,6,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1600,2,0,1,0,7,1,18,2,0,0,91,8,26,0,0,0,0,0,0,0,3,0,3,0,27,0,0,0,23,0,0,0,1,0,9,0,0,0,6,0,0,0,2,0,5,0,4,1,181,2,0,0,0,0,9,0,1,0,18,0,1,0,0,0,0,2,15,0,0,0,0,0,1,0
1650,0,0,0,0,0,0,23,4,0,0,24,45,58,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
1700,0,0,0,0,1,0,5,122,0,5,39,299,6,75,0,0,0,0,0,0,6,65,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,11,3,9,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0
1750,0,0,3,0,0,0,3,2,0,0,21,29,14,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,2,0,0,0,3,0,2,0,2,1,1,0,0,0,2,0,0,0
1800,0,0,5,0,2,0,3,8,1,0,10,29,3,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,1,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
1850,0,0,5,0,1,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,3,2,17,0,0,0,0,0,0
